incident_id,description,severity
45,"Forced labor case recorded on a footbridge in Assam, impacting a female traveler.",High
46,"Forced labor case recorded in a busy market in Kolkata, impacting a teenage student.",High
47,A single mother was subjected to human trafficking near a highway toll booth in Rajasthan.,High
48,An incident of domestic violence involving a woman in distress was reported inside a government office in Chennai.,Low
49,An incident of public indecency involving a female police officer was reported in a mall in Pune.,Low
50,A female traveler faced physical assault in a public park in Chandigarh.,High
51,An incident of public indecency involving a teenage student was reported in a village in Uttar Pradesh.,Medium
52,"Chain snatching case recorded inside a government office in Chennai, impacting a female traveler.",Low
53,A domestic worker was subjected to threatening behavior in a slum area of Dharavi.,Medium
54,A female traveler was subjected to human trafficking near a highway toll booth in Rajasthan.,High
55,An incident of illegal detention involving a young girl was reported in a village in Uttar Pradesh.,Medium
56,A female traveler was subjected to forced labor near a railway station in Mumbai.,High
57,An incident of public indecency involving a domestic worker was reported inside a government office in Chennai.,Medium
58,An incident of illegal detention involving a woman in distress was reported near a railway station in Mumbai.,Medium
59,A woman in distress was subjected to dowry harassment in a slum area of Dharavi.,Medium
60,A married woman faced molestation near a highway toll booth in Rajasthan.,High
61,A complaint was lodged about stalking targeting a working woman at a metro station in Delhi.,Medium
62,A complaint was lodged about chain snatching targeting a female traveler near a coaching center in Kota.,Medium
63,A domestic worker faced chain snatching near a coaching center in Kota.,Low
64,A young girl was subjected to human trafficking outside a temple in Varanasi.,High
65,A complaint was lodged about verbal abuse targeting a domestic worker near a highway toll booth in Rajasthan.,Medium
66,"Human trafficking case recorded in a village in Uttar Pradesh, impacting a woman in distress.",High
67,"Forced labor case recorded in an apartment complex in Kerala, impacting a working woman.",High
68,"Human trafficking case recorded outside a temple in Varanasi, impacting a child.",High
69,An incident of threatening behavior involving a working woman was reported in a public park in Chandigarh.,Medium
70,A complaint was lodged about rape attempt targeting a single mother at a metro station in Delhi.,High
71,"Public indecency case recorded in a public park in Chandigarh, impacting a teenage student.",Medium
72,A complaint was lodged about neglect targeting a widow at a cinema hall in Gujarat.,Medium
73,"Stalking case recorded at an IT park in Noida, impacting a domestic worker.",Medium
74,An incident of kidnapping involving a working woman was reported on a footbridge in Assam.,High
75,"Neglect case recorded near a highway toll booth in Rajasthan, impacting a working woman.",Medium
76,A domestic worker faced honor killing inside a government office in Chennai.,High
77,A complaint was lodged about eve-teasing targeting a teenage student inside a government office in Chennai.,Medium
78,An incident of child marriage involving a female police officer was reported outside a temple in Varanasi.,High
79,"Human trafficking case recorded in a public park in Chandigarh, impacting a woman in distress.",High
80,"Rape attempt case recorded inside a government office in Chennai, impacting a child.",High
81,"Eve-teasing case recorded outside a temple in Varanasi, impacting a domestic worker.",Medium
82,A complaint was lodged about discrimination targeting a domestic worker in a public park in Chandigarh.,Medium
83,A young girl faced verbal abuse near a coaching center in Kota.,Low
84,A complaint was lodged about eve-teasing targeting a woman in distress in a slum area of Dharavi.,Medium
85,A complaint was lodged about public indecency targeting a widow in a village in Uttar Pradesh.,Low
86,An incident of forced begging involving a child was reported inside a government office in Chennai.,Low
87,A complaint was lodged about child marriage targeting a teenage student in a public park in Chandigarh.,High
88,"Discrimination case recorded inside a government office in Chennai, impacting a young girl.",Medium
89,A woman in distress faced illegal detention inside a hostel in Punjab.,Medium
90,"Eve-teasing case recorded near a railway station in Mumbai, impacting a domestic worker.",Medium
91,A complaint was lodged about honor killing targeting a woman in distress outside a temple in Varanasi.,High
92,An incident of neglect involving a working woman was reported in a slum area of Dharavi.,Medium
93,A complaint was lodged about rape attempt targeting a single mother at a cinema hall in Gujarat.,High
94,"Dowry harassment case recorded outside a temple in Varanasi, impacting a single mother.",Medium
95,A complaint was lodged about forced begging targeting a female traveler on a crowded bus in Bengaluru.,Medium
96,"Discrimination case recorded inside a government office in Chennai, impacting a working woman.",Medium
97,"Acid attack case recorded on a footbridge in Assam, impacting a young girl.",High
98,"Discrimination case recorded in a slum area of Dharavi, impacting a female police officer.",Medium
99,A complaint was lodged about dowry harassment targeting a female police officer in a slum area of Dharavi.,Medium
100,"Forced begging case recorded in a village in Uttar Pradesh, impacting a child.",Low
101,"Harassment case recorded inside a hostel in Punjab, impacting a domestic worker.",Medium
102,A complaint was lodged about threatening behavior targeting a working woman on a deserted road in Bihar.,Medium
103,An incident of forced labor involving a female police officer was reported inside a hostel in Punjab.,High
104,A domestic worker was subjected to physical assault inside a hostel in Punjab.,High
105,An incident of fraud involving a teenage student was reported in a village in Uttar Pradesh.,Medium
106,A woman in distress was subjected to discrimination on a deserted road in Bihar.,Medium
107,A working woman faced illegal detention near a highway toll booth in Rajasthan.,Medium
108,"Verbal abuse case recorded at a metro station in Delhi, impacting a married woman.",Low
109,A female traveler faced chain snatching at a metro station in Delhi.,Low
110,An incident of human trafficking involving a domestic worker was reported near a railway station in Mumbai.,High
111,A woman in distress faced rape attempt inside a government office in Chennai.,High
112,A complaint was lodged about chain snatching targeting a widow in a busy market in Kolkata.,Medium
113,A domestic worker faced public indecency in a village in Uttar Pradesh.,Medium
114,A child faced forced begging in a school in Hyderabad.,Medium
115,A married woman faced physical assault inside a hostel in Punjab.,High
116,A domestic worker was subjected to illegal detention inside a hostel in Punjab.,Low
117,A married woman was subjected to honor killing at a police station in Jharkhand.,High
118,"Verbal abuse case recorded inside a hostel in Punjab, impacting a female police officer.",Low
119,A domestic worker faced public indecency in a mall in Pune.,Low
120,A widow was subjected to kidnapping at a metro station in Delhi.,High
121,A teenage student was subjected to human trafficking on a footbridge in Assam.,High
122,An incident of domestic violence involving a widow was reported in a busy market in Kolkata.,Low
123,A female police officer was subjected to threatening behavior in a village in Uttar Pradesh.,Medium
124,A domestic worker faced discrimination at a police station in Jharkhand.,Medium
125,A young girl faced eve-teasing on a footbridge in Assam.,Medium
126,"Forced labor case recorded at a police station in Jharkhand, impacting a married woman.",High
127,"Child marriage case recorded in a slum area of Dharavi, impacting a young girl.",High
128,"Fraud case recorded on a footbridge in Assam, impacting a young girl.",Low
129,A female police officer faced fraud in a village in Uttar Pradesh.,Low
130,An incident of acid attack involving a working woman was reported inside a hostel in Punjab.,High
131,An incident of dowry harassment involving a female police officer was reported in a busy market in Kolkata.,Medium
132,"Discrimination case recorded on a crowded bus in Bengaluru, impacting a married woman.",Medium
133,An incident of eve-teasing involving a teenage student was reported at a police station in Jharkhand.,Medium
134,A complaint was lodged about acid attack targeting a married woman near a highway toll booth in Rajasthan.,High
135,A complaint was lodged about fraud targeting a domestic worker inside a hostel in Punjab.,Medium
136,A single mother faced honor killing near a highway toll booth in Rajasthan.,High
137,A married woman was subjected to discrimination at a metro station in Delhi.,Medium
138,A complaint was lodged about stalking targeting a female police officer near a coaching center in Kota.,Medium
139,A complaint was lodged about domestic violence targeting a young girl near a highway toll booth in Rajasthan.,Medium
140,A complaint was lodged about forced labor targeting a widow in a busy market in Kolkata.,High
141,"Fraud case recorded on a footbridge in Assam, impacting a widow.",Medium
142,An incident of child marriage involving a domestic worker was reported at an IT park in Noida.,High
143,A widow was subjected to chain snatching inside a government office in Chennai.,Medium
144,A working woman faced discrimination at an IT park in Noida.,Medium
145,A widow was subjected to threatening behavior near a highway toll booth in Rajasthan.,Medium
146,A complaint was lodged about child marriage targeting a single mother on a deserted road in Bihar.,High
147,An incident of forced begging involving a married woman was reported at a metro station in Delhi.,Medium
148,A single mother was subjected to kidnapping near a railway station in Mumbai.,High
149,A complaint was lodged about fraud targeting a single mother in a public park in Chandigarh.,Low
150,A complaint was lodged about chain snatching targeting a teenage student inside a government office in Chennai.,Low
151,A complaint was lodged about verbal abuse targeting a female traveler at a metro station in Delhi.,Low
152,A woman in distress was subjected to honor killing in an apartment complex in Kerala.,High
153,A teenage student faced illegal detention inside a hostel in Punjab.,Low
154,A married woman faced discrimination on a crowded bus in Bengaluru.,Medium
155,A complaint was lodged about neglect targeting a young girl inside a government office in Chennai.,Low
156,"Molestation case recorded outside a temple in Varanasi, impacting a domestic worker.",High
157,A complaint was lodged about stalking targeting a child in a village in Uttar Pradesh.,Medium
158,"Forced begging case recorded inside a hostel in Punjab, impacting a teenage student.",Medium
159,A child was subjected to chain snatching outside a temple in Varanasi.,Medium
160,An incident of dowry harassment involving a single mother was reported in a busy market in Kolkata.,Medium
161,A domestic worker faced discrimination near a railway station in Mumbai.,Medium
162,An incident of discrimination involving a married woman was reported on a footbridge in Assam.,Medium
163,A complaint was lodged about forced begging targeting a single mother in a mall in Pune.,Medium
164,"Stalking case recorded in an apartment complex in Kerala, impacting a woman in distress.",Medium
165,A teenage student was subjected to threatening behavior at an IT park in Noida.,Medium
166,An incident of eve-teasing involving a domestic worker was reported inside a government office in Chennai.,Medium
167,"Public indecency case recorded in a school in Hyderabad, impacting a female police officer.",Low
168,A complaint was lodged about forced labor targeting a teenage student in a village in Uttar Pradesh.,High
169,"Kidnapping case recorded near a coaching center in Kota, impacting a working woman.",High
170,A female traveler was subjected to neglect in a slum area of Dharavi.,Low
171,"Human trafficking case recorded at an IT park in Noida, impacting a working woman.",High
172,"Child marriage case recorded outside a temple in Varanasi, impacting a young girl.",High
173,A female traveler was subjected to public indecency in a school in Hyderabad.,Medium
174,"Threatening behavior case recorded inside a hostel in Punjab, impacting a young girl.",Medium
175,A female police officer faced discrimination in a mall in Pune.,Medium
176,"Cyberbullying case recorded at a cinema hall in Gujarat, impacting a young girl.",Medium
177,A child was subjected to threatening behavior in a village in Uttar Pradesh.,Medium
178,A complaint was lodged about domestic violence targeting a woman in distress on a deserted road in Bihar.,Medium
179,An incident of molestation involving a teenage student was reported at a cinema hall in Gujarat.,High
180,An incident of discrimination involving a teenage student was reported in a busy market in Kolkata.,Medium
181,A complaint was lodged about stalking targeting a child in a busy market in Kolkata.,Medium
182,A child was subjected to child marriage near a railway station in Mumbai.,High
183,A young girl was subjected to human trafficking inside a government office in Chennai.,High
184,"Cyberbullying case recorded near a railway station in Mumbai, impacting a female police officer.",Medium
185,An incident of physical assault involving a single mother was reported in a school in Hyderabad.,High
186,A complaint was lodged about forced labor targeting a single mother in a school in Hyderabad.,High
187,"Honor killing case recorded at a police station in Jharkhand, impacting a working woman.",High
188,A complaint was lodged about forced begging targeting a young girl in a village in Uttar Pradesh.,Medium
189,A complaint was lodged about molestation targeting a working woman in a school in Hyderabad.,High
190,A female police officer was subjected to dowry harassment outside a temple in Varanasi.,Medium
191,An incident of illegal detention involving a child was reported at a metro station in Delhi.,Medium
192,A widow was subjected to stalking in an apartment complex in Kerala.,Medium
193,"Fraud case recorded near a coaching center in Kota, impacting a married woman.",Low
194,An incident of molestation involving a widow was reported inside a hostel in Punjab.,High
195,An incident of rape attempt involving a working woman was reported inside a hostel in Punjab.,High
196,A young girl was subjected to domestic violence in a busy market in Kolkata.,Low
197,"Acid attack case recorded in a school in Hyderabad, impacting a single mother.",High
198,A complaint was lodged about public indecency targeting a young girl inside a hostel in Punjab.,Medium
199,An incident of acid attack involving a teenage student was reported at a police station in Jharkhand.,High
200,An incident of fraud involving a teenage student was reported in a public park in Chandigarh.,Medium
201,"Molestation case recorded at a police station in Jharkhand, impacting a married woman.",High
202,A domestic worker faced harassment inside a hostel in Punjab.,Medium
203,A complaint was lodged about discrimination targeting a teenage student in a slum area of Dharavi.,Medium
204,An incident of stalking involving a domestic worker was reported on a crowded bus in Bengaluru.,Medium
205,A young girl was subjected to cyberbullying in a busy market in Kolkata.,Medium
206,A single mother faced acid attack at a police station in Jharkhand.,High
207,An incident of molestation involving a female traveler was reported at an IT park in Noida.,High
208,An incident of eve-teasing involving a married woman was reported on a deserted road in Bihar.,Medium
209,A young girl faced physical assault near a coaching center in Kota.,High
210,A complaint was lodged about kidnapping targeting a child at a metro station in Delhi.,High
211,An incident of acid attack involving a single mother was reported on a deserted road in Bihar.,High
212,"Forced labor case recorded in a slum area of Dharavi, impacting a married woman.",High
213,A complaint was lodged about illegal detention targeting a female traveler on a deserted road in Bihar.,Medium
214,"Domestic violence case recorded near a coaching center in Kota, impacting a widow.",Medium
215,A child was subjected to rape attempt outside a temple in Varanasi.,High
216,A child was subjected to verbal abuse at a police station in Jharkhand.,Low
217,"Harassment case recorded in an apartment complex in Kerala, impacting a single mother.",Medium
218,A child was subjected to human trafficking in a slum area of Dharavi.,High
219,A widow faced illegal detention in a slum area of Dharavi.,Low
220,A child faced fraud near a railway station in Mumbai.,Low
221,A complaint was lodged about eve-teasing targeting a woman in distress on a crowded bus in Bengaluru.,Medium
222,"Child marriage case recorded in a mall in Pune, impacting a woman in distress.",High
223,"Discrimination case recorded in a school in Hyderabad, impacting a single mother.",Medium
224,An incident of forced labor involving a single mother was reported in a public park in Chandigarh.,High
225,"Stalking case recorded near a railway station in Mumbai, impacting a single mother.",Medium
226,A complaint was lodged about cyberbullying targeting a single mother in a school in Hyderabad.,Medium
227,A domestic worker faced forced begging near a coaching center in Kota.,Low
228,A married woman was subjected to cyberbullying outside a temple in Varanasi.,Medium
229,"Stalking case recorded in a public park in Chandigarh, impacting a working woman.",Medium
230,A complaint was lodged about chain snatching targeting a female traveler in a slum area of Dharavi.,Low
231,"Forced labor case recorded at a metro station in Delhi, impacting a woman in distress.",High
232,"Harassment case recorded in a school in Hyderabad, impacting a married woman.",Medium
233,A complaint was lodged about kidnapping targeting a domestic worker inside a hostel in Punjab.,High
234,A young girl faced forced labor on a crowded bus in Bengaluru.,High
235,An incident of cyberbullying involving a domestic worker was reported at a cinema hall in Gujarat.,Medium
236,"Physical assault case recorded at an IT park in Noida, impacting a female traveler.",High
237,An incident of kidnapping involving a young girl was reported in a slum area of Dharavi.,High
238,An incident of harassment involving a female traveler was reported on a crowded bus in Bengaluru.,Medium
239,A complaint was lodged about illegal detention targeting a female traveler on a deserted road in Bihar.,Medium
240,A complaint was lodged about public indecency targeting a young girl in a slum area of Dharavi.,Medium
241,A young girl faced kidnapping in a busy market in Kolkata.,High
242,A child faced forced labor in a school in Hyderabad.,High
243,A complaint was lodged about molestation targeting a married woman on a deserted road in Bihar.,High
244,A working woman was subjected to physical assault at a police station in Jharkhand.,High
245,A widow faced cyberbullying near a coaching center in Kota.,Medium
246,A widow faced eve-teasing in a school in Hyderabad.,Medium
247,"Human trafficking case recorded near a railway station in Mumbai, impacting a widow.",High
248,A widow faced neglect on a footbridge in Assam.,Medium
249,"Child marriage case recorded near a railway station in Mumbai, impacting a married woman.",High
250,A complaint was lodged about verbal abuse targeting a female traveler at a metro station in Delhi.,Medium
251,"Discrimination case recorded in a public park in Chandigarh, impacting a female police officer.",Medium
252,"Harassment case recorded near a railway station in Mumbai, impacting a female police officer.",Medium
253,An incident of child marriage involving a teenage student was reported at an IT park in Noida.,High
254,"Verbal abuse case recorded inside a government office in Chennai, impacting a female police officer.",Medium
255,"Forced labor case recorded in a village in Uttar Pradesh, impacting a woman in distress.",High
256,"Honor killing case recorded near a highway toll booth in Rajasthan, impacting a domestic worker.",High
257,An incident of forced labor involving a young girl was reported outside a temple in Varanasi.,High
258,"Discrimination case recorded at a police station in Jharkhand, impacting a single mother.",Medium
259,A married woman was subjected to cyberbullying inside a government office in Chennai.,Medium
260,An incident of cyberbullying involving a young girl was reported near a coaching center in Kota.,Medium
261,A complaint was lodged about stalking targeting a working woman inside a hostel in Punjab.,Medium
262,"Discrimination case recorded near a highway toll booth in Rajasthan, impacting a female traveler.",Medium
263,A young girl was subjected to forced begging in a school in Hyderabad.,Low
264,An incident of chain snatching involving a working woman was reported at a cinema hall in Gujarat.,Low
265,A complaint was lodged about forced labor targeting a female traveler at a police station in Jharkhand.,High
266,A child was subjected to eve-teasing on a crowded bus in Bengaluru.,Medium
267,A complaint was lodged about human trafficking targeting a woman in distress in a public park in Chandigarh.,High
268,A complaint was lodged about discrimination targeting a working woman inside a hostel in Punjab.,Medium
269,A complaint was lodged about cyberbullying targeting a single mother outside a temple in Varanasi.,Medium
270,A female police officer faced verbal abuse at a police station in Jharkhand.,Medium
271,A married woman was subjected to illegal detention in a public park in Chandigarh.,Low
272,A married woman was subjected to threatening behavior at a metro station in Delhi.,Medium
273,"Child marriage case recorded in a mall in Pune, impacting a young girl.",High
274,An incident of child marriage involving a young girl was reported in a busy market in Kolkata.,High
275,An incident of forced begging involving a teenage student was reported in a mall in Pune.,Low
276,"Verbal abuse case recorded near a coaching center in Kota, impacting a child.",Low
277,"Harassment case recorded near a railway station in Mumbai, impacting a teenage student.",Medium
278,A complaint was lodged about eve-teasing targeting a woman in distress at an IT park in Noida.,Medium
279,"Public indecency case recorded at a police station in Jharkhand, impacting a young girl.",Medium
280,A complaint was lodged about harassment targeting a teenage student in an apartment complex in Kerala.,Medium
281,A complaint was lodged about fraud targeting a woman in distress at an IT park in Noida.,Low
282,An incident of molestation involving a domestic worker was reported near a coaching center in Kota.,High
283,"Harassment case recorded on a footbridge in Assam, impacting a child.",Medium
284,A young girl was subjected to discrimination on a deserted road in Bihar.,Medium
285,A young girl was subjected to kidnapping near a coaching center in Kota.,High
286,A domestic worker was subjected to kidnapping at a police station in Jharkhand.,High
287,A single mother faced physical assault in a slum area of Dharavi.,High
288,A child was subjected to molestation inside a hostel in Punjab.,High
289,"Eve-teasing case recorded outside a temple in Varanasi, impacting a child.",Medium
290,An incident of acid attack involving a domestic worker was reported in a public park in Chandigarh.,High
291,A working woman was subjected to honor killing at a cinema hall in Gujarat.,High
292,A complaint was lodged about acid attack targeting a single mother on a crowded bus in Bengaluru.,High
293,An incident of neglect involving a married woman was reported at a police station in Jharkhand.,Low
294,An incident of child marriage involving a domestic worker was reported near a highway toll booth in Rajasthan.,High
295,A female police officer was subjected to molestation at an IT park in Noida.,High
296,A woman in distress was subjected to forced begging in a village in Uttar Pradesh.,Low
297,A female traveler faced acid attack inside a government office in Chennai.,High
298,An incident of eve-teasing involving a woman in distress was reported at a metro station in Delhi.,Medium
299,"Neglect case recorded in a school in Hyderabad, impacting a young girl.",Low
300,A complaint was lodged about human trafficking targeting a working woman near a railway station in Mumbai.,High
301,An incident of eve-teasing involving a single mother was reported in an apartment complex in Kerala.,Medium
302,A female traveler faced fraud near a railway station in Mumbai.,Low
303,A teenage student faced cyberbullying at a police station in Jharkhand.,Medium
304,"Forced labor case recorded in a school in Hyderabad, impacting a female traveler.",High
305,A female traveler was subjected to illegal detention outside a temple in Varanasi.,Low
306,A domestic worker was subjected to kidnapping on a deserted road in Bihar.,High
307,A single mother faced eve-teasing in a school in Hyderabad.,Medium
308,An incident of molestation involving a woman in distress was reported near a highway toll booth in Rajasthan.,High
309,A complaint was lodged about public indecency targeting a working woman in a public park in Chandigarh.,Medium
310,An incident of discrimination involving a young girl was reported in a school in Hyderabad.,Medium
311,"Molestation case recorded near a railway station in Mumbai, impacting a single mother.",High
312,A child faced chain snatching at a police station in Jharkhand.,Medium
313,An incident of human trafficking involving a working woman was reported in a public park in Chandigarh.,High
314,"Cyberbullying case recorded inside a hostel in Punjab, impacting a widow.",Medium
315,An incident of physical assault involving a married woman was reported inside a government office in Chennai.,High
316,"Rape attempt case recorded in a school in Hyderabad, impacting a female traveler.",High
317,A complaint was lodged about fraud targeting a female traveler in a mall in Pune.,Low
318,An incident of rape attempt involving a working woman was reported in a busy market in Kolkata.,High
319,An incident of dowry harassment involving a domestic worker was reported in a school in Hyderabad.,Medium
320,A widow was subjected to kidnapping on a crowded bus in Bengaluru.,High
321,"Domestic violence case recorded in a busy market in Kolkata, impacting a teenage student.",Medium
322,An incident of neglect involving a teenage student was reported near a highway toll booth in Rajasthan.,Medium
323,A woman in distress was subjected to kidnapping near a coaching center in Kota.,High
324,An incident of kidnapping involving a domestic worker was reported on a deserted road in Bihar.,High
325,"Kidnapping case recorded at a cinema hall in Gujarat, impacting a child.",High
326,A woman in distress was subjected to illegal detention on a footbridge in Assam.,Low
327,A complaint was lodged about verbal abuse targeting a female traveler in an apartment complex in Kerala.,Low
328,A complaint was lodged about public indecency targeting a working woman on a crowded bus in Bengaluru.,Medium
329,A woman in distress faced forced begging in a public park in Chandigarh.,Low
330,A working woman faced illegal detention in a public park in Chandigarh.,Medium
331,A widow faced eve-teasing in a mall in Pune.,Medium
332,A widow faced honor killing on a deserted road in Bihar.,High
333,A complaint was lodged about neglect targeting a young girl near a coaching center in Kota.,Medium
334,A married woman was subjected to dowry harassment inside a hostel in Punjab.,Medium
335,An incident of harassment involving a woman in distress was reported at a metro station in Delhi.,Medium
336,A female traveler was subjected to child marriage on a footbridge in Assam.,High
337,An incident of chain snatching involving a young girl was reported at an IT park in Noida.,Low
338,A woman in distress faced dowry harassment inside a government office in Chennai.,Medium
339,A complaint was lodged about forced begging targeting a young girl at a police station in Jharkhand.,Low
340,A complaint was lodged about domestic violence targeting a woman in distress outside a temple in Varanasi.,Medium
341,A complaint was lodged about physical assault targeting a married woman in an apartment complex in Kerala.,High
342,A complaint was lodged about harassment targeting a female police officer on a deserted road in Bihar.,Medium
343,"Kidnapping case recorded on a footbridge in Assam, impacting a young girl.",High
344,"Child marriage case recorded inside a hostel in Punjab, impacting a married woman.",High
345,A complaint was lodged about eve-teasing targeting a child inside a hostel in Punjab.,Medium
346,"Discrimination case recorded at a police station in Jharkhand, impacting a married woman.",Medium
347,An incident of forced labor involving a female police officer was reported at a police station in Jharkhand.,High
348,A working woman was subjected to verbal abuse at a cinema hall in Gujarat.,Medium
349,A widow faced threatening behavior at an IT park in Noida.,Medium
350,"Illegal detention case recorded at a police station in Jharkhand, impacting a young girl.",Low
351,A complaint was lodged about physical assault targeting a young girl in a busy market in Kolkata.,High
352,A complaint was lodged about illegal detention targeting a woman in distress near a railway station in Mumbai.,Medium
353,"Chain snatching case recorded in a school in Hyderabad, impacting a teenage student.",Medium
354,An incident of cyberbullying involving a widow was reported in a public park in Chandigarh.,Medium
355,A child was subjected to stalking at a metro station in Delhi.,Medium
356,A young girl was subjected to child marriage in a public park in Chandigarh.,High
357,A complaint was lodged about molestation targeting a single mother in a public park in Chandigarh.,High
358,"Forced labor case recorded at a cinema hall in Gujarat, impacting a working woman.",High
359,"Stalking case recorded near a railway station in Mumbai, impacting a female police officer.",Medium
360,An incident of verbal abuse involving a domestic worker was reported on a deserted road in Bihar.,Low
361,"Molestation case recorded on a deserted road in Bihar, impacting a child.",High
362,A working woman was subjected to human trafficking near a railway station in Mumbai.,High
363,A domestic worker was subjected to verbal abuse on a deserted road in Bihar.,Low
364,An incident of domestic violence involving a married woman was reported in a school in Hyderabad.,Low
365,"Dowry harassment case recorded inside a government office in Chennai, impacting a widow.",Medium
366,"Acid attack case recorded at a metro station in Delhi, impacting a teenage student.",High
367,"Chain snatching case recorded in a slum area of Dharavi, impacting a female police officer.",Low
368,A female police officer faced neglect in a village in Uttar Pradesh.,Medium
369,A working woman was subjected to acid attack near a coaching center in Kota.,High
370,"Discrimination case recorded at a cinema hall in Gujarat, impacting a child.",Medium
371,A single mother was subjected to harassment near a highway toll booth in Rajasthan.,Medium
372,A teenage student was subjected to kidnapping on a footbridge in Assam.,High
373,A working woman was subjected to dowry harassment on a footbridge in Assam.,Medium
374,A complaint was lodged about fraud targeting a widow at an IT park in Noida.,Medium
375,A complaint was lodged about child marriage targeting a child at a cinema hall in Gujarat.,High
376,A working woman faced molestation near a railway station in Mumbai.,High
377,An incident of public indecency involving a widow was reported in a slum area of Dharavi.,Medium
378,A married woman faced forced begging in a slum area of Dharavi.,Medium
379,A teenage student was subjected to illegal detention outside a temple in Varanasi.,Low
380,A complaint was lodged about dowry harassment targeting a married woman in a school in Hyderabad.,Medium
381,A female traveler was subjected to cyberbullying on a deserted road in Bihar.,Medium
382,A complaint was lodged about human trafficking targeting a teenage student inside a hostel in Punjab.,High
383,A teenage student faced human trafficking outside a temple in Varanasi.,High
384,A widow faced human trafficking outside a temple in Varanasi.,High
385,A single mother was subjected to child marriage inside a hostel in Punjab.,High
386,A woman in distress was subjected to harassment on a deserted road in Bihar.,Medium
387,A complaint was lodged about verbal abuse targeting a widow in a slum area of Dharavi.,Medium
388,An incident of child marriage involving a single mother was reported inside a government office in Chennai.,High
389,"Human trafficking case recorded at a metro station in Delhi, impacting a female traveler.",High
390,An incident of illegal detention involving a young girl was reported at an IT park in Noida.,Low
391,A young girl was subjected to forced begging near a highway toll booth in Rajasthan.,Medium
392,A complaint was lodged about honor killing targeting a young girl in a public park in Chandigarh.,High
393,"Verbal abuse case recorded on a crowded bus in Bengaluru, impacting a young girl.",Medium
394,A complaint was lodged about rape attempt targeting a widow on a crowded bus in Bengaluru.,High
395,A young girl faced dowry harassment near a coaching center in Kota.,Medium
396,"Public indecency case recorded on a footbridge in Assam, impacting a domestic worker.",Low
397,A working woman faced rape attempt in a busy market in Kolkata.,High
398,A working woman was subjected to domestic violence inside a hostel in Punjab.,Medium
